Tipo;TEMA;SUBTEMA;Escala;Recorte;Dado;Formato;Fonte
Dado;Serviços Públicos;Coleta de resíduos;Municipal;Palmas;Frequência da coleta de lixo orgânico;Mapa;Plano Diretor de Palmas 2021
Dado;Serviços Públicos;Coleta de resíduos;Municipal;Palmas;Frequência da coleta de lixo reciclável;Mapa;Plano Diretor de Palmas 2021
Dado;Serviços Públicos;Assistencia social;Municipal;Palmas;Equipamentos de assistência social no perímetro urbano;Mapa;Plano Diretor de Palmas 2021
Dado;Serviços Públicos;Esporte e lazer;Municipal;Palmas;Equipamentos de esporte e lazer no perímetro urbano;Mapa;Plano Diretor de Palmas 2021
Dado;Serviços Públicos;Segurança pública;Municipal;Palmas;Equipamentos de segurança pública no perímetro urbano;Mapa;Plano Diretor de Palmas 2021
Dado;Histórico;Locais de história, memória e cultura;Municipal;Palmas;Áreas de interesse histórico e cultural no perímetro urbano;Mapa;Plano Diretor de Palmas 2021
Dado;Plano Diretor;Perímetro urbano 2021;Municipal;Palmas;Perímetro urbano atual, vetorizado por nós com base no PD;Shapefile;Plano Diretor de Palmas 2021
Dado;Plano Diretor;Perímetro urbano 2021;Municipal;Palmas;Proposta de delimitação de perímetro urbano atual constante no PD;Mapa;Plano Diretor de Palmas 2021
Dado;Plano Diretor;Perímetro urbano 2013;Municipal;Palmas;Perímetro urbano vigente em 2013, vetorizado por nós com base no PD;Shapefile;Plano Diretor de Palmas 2021
Dado;Plano Diretor;Perímetro urbano 2008;Municipal;Palmas;Perímetro urbano vigente em 2008, vetorizado por nós com base no PD;Shapefile;Plano Diretor de Palmas 2021
Dado;Plano Diretor;Lei do perímetro urbano 2021;Municipal;Palmas;" Estabelece o Perímetro Urbano da
Sede do Município de Palmas e a Divisão demBairros Urbanos";Documento;Plano Diretor de Palmas 2021
Dado;Plano Diretor;Bairros;Municipal;Palmas;Divisão dos bairros;Shapefile;Plano Diretor de Palmas 2021
Dado;Plano Diretor;Bairros;Municipal;Palmas;Área total dos limites dos bairros que corresponte praticamente ao perímetro urbano;Shapefile;Plano Diretor de Palmas 2021
Dado;Plano Diretor;Zoneamento e Macrozoneamento;Municipal;Palmas;Mapa do zoneamento proposto em 2021;Mapa;Plano Diretor de Palmas 2021
Dado;Plano Diretor;Zoneamento e Macrozoneamento;Municipal;Palmas;Mapa do macrozoneamento proposto em 2021;Mapa;Plano Diretor de Palmas 2021
Dado;Plano Diretor;Zoneamento e Macrozoneamento;Municipal;Palmas;Mapa do zoneamento vigente em 2017;Mapa;Plano Diretor de Palmas 2021
Dado;Plano Diretor;Lei de uso e ocupaçao 2021;Municipal;Palmas;"Regulamenta o Zoneamento de 
Uso e Ocupação do Solo Urbano de Palmas ";Documento;Plano Diretor de Palmas 2021
Dado;Plano Diretor;Lei do Plano Diretor / Macrozoneamento;Municipal;Palmas;"Dispõe sobre a Revisão do Plano
Diretor Participativo do Município de Palmas";Documento;Plano Diretor de Palmas 2021
Dado;Plano Diretor;Relatórios de elaboraçao do Plano Diretor 2021;Municipal;Palmas;Levantamentos, pesquisas e análises realizadas pela equipe do Plando Diretor de 2021;Documento;Plano Diretor de Palmas 2021
Dado;Plano Diretor;Valor da terra;Municipal;Palmas;Planta Genérica de Valores (PGV) de  2007 - Mapa de valor da terra urbana;Mapa;Plano Diretor de Palmas 2021
Dado;Plano Diretor;Valor da terra;Municipal;Palmas;Novos valores de IPTU por bairro para 2024 (informação elaborada em 2022);Mapa;Notícia do Grupo RBJ de comunicação
Dado;Midias;Educaçao Quilombola na Escola Maria Joana Ferreira;Municipal;Palmas;Video de projeto educacional;Vídeo;Secretaria de Educação do Estado do Paraná (SEED)
Dado;Midias;Contexto e história do bairro Sao Sebastiao;Municipal;Palmas;Dona Maria Arlete contando a história do bairro e do início das comunidades e também sobre a construção da Igreja de São Sebastião;Vídeo;Comunidade
Dado;Notícias;Dia da Consciencia Negra;Municipal;Palmas;9.1 Celebração do Dia da Consciência Negra na Escola Quilombola Maria Joana Ferreira;Vídeo;TV Sudoeste
Dado;Cartografia;Área total do município;Municipal;Palmas;Valor numérico (km²);Dado Bruto;IBGE 2022
Dado;Cartografia;Limite Municipal;Municipal;Palmas;Limite Municipal ;Shapefile;IBGE 2022
Dado;Cartografia;Setores Censitários 2010;Municipal;Palmas;Setores Censitários do Censo 2010;Shapefile;IBGE 2010
Dado;Cartografia;Setores Censitários 2022;Municipal;Palmas;Setores Censitários do Censo 2022;Shapefile;IBGE 2022
Dado;Cartografia;Aerolevantamento 1980;Municipal;Palmas;Foto aérea do município em 1980;Foto aérea;ITCG
Dado;Cartografia;Fotoindice do Aerolevantamento;Municipal;Palmas;Fotoíndice das fotos aéreas do aerolevantamento de 1980 em escala 1:25.000;Shapefile;IAT
Dado;Cartografia;Aerolevantamento 2021;Municipal;Palmas;Foto aérea do município em 2021;Foto aérea;Paraná Interativo
Hipóteses;Políticas Públicas;PNAE;Municipal;Palmas;Quantidade de alunos atendidos pelo PNAE por município paranaense e etapa de ensino entre 2009 e 2022;Tabela;FNDE / PNAE 2024
Hipóteses;Políticas Públicas;PNAE;Municipal;Palmas;Quantidade de escolas atendidas pelo PNAE por município paranaense entre 2009 e 2024;Tabela;FNDE / PNAE 2024
Hipóteses;Questão Fundiária;acesso à terra e raça 2017;Municipal;Palmas;Comparaçãode número de estabelecimentos e área ocupada por grupo de tamanho e raça do produtor responsável;Gráfico;Censo agropecuário IBGE 2017 - tabela 6882
Hipóteses;Questão Fundiária;acesso à terra e raça 2017;Municipal;Palmas;Comparaçãode número de estabelecimentos e área ocupada por grupo de tamanho e raça do produtor responsável em porcentagem;Gráfico;Censo agropecuário IBGE 2017 - tabela 6882
Hipóteses;Questão Fundiária;acesso à terra e raça 2017;Municipal;Palmas;Proporção de número de produtores responsáveis por estabelecimento agropecuário  por raça;Gráfico;Censo agropecuário IBGE 2017 - tabela 6882
Hipóteses;Questão Fundiária;acesso à terra e raça 2017;Municipal;Palmas;Proporção de áreao cupada de produtores responsáveis por estabelecimento agropecuário  por raça;Gráfico;Censo agropecuário IBGE 2017 - tabela 6882
Hipóteses;Questão Fundiária;acessoa à terra e agricultura familiar 2017;Municipal;Palmas;Comparaçãode número de estabelecimentos e área ocupada por grupo de tamanho e agricultura familiar;Gráfico;Censo agropecuário IBGE 2017 - tabela 6882
Hipóteses;Questão Fundiária;concentraçao fundiária 1995;Municipal;Palmas;Comparaçãode número de estabelecimentos e área ocupada por grupo de tamanho;Gráfico;Censo Agropecuário IBGE 1995 Tabelas 315 e 312
Hipóteses;Questão Fundiária;concentraçao fundiária 2006;Municipal;Palmas;Comparaçãode número de estabelecimentos e área ocupada por grupo de tamanho;Gráfico;Censo Agropecuário IBGE Tabela 837
Hipóteses;Questão Fundiária;concentraçao fundiária 2017;Municipal;Palmas;Comparaçãode número de estabelecimentos e área ocupada por grupo de tamanho;Gráfico;Agropecuário IBGE 2017 Tabela 6880 Censo
Hipóteses;Segregação Socioespacial;Comparaçao das proporçoes de raça autodeclarada de residentes e renda domiciliar por faixa salarial 2010;Municipal;Palmas;Distribuição po setor censitário das proporções de raça e de renda por faixa salarial;Mapa;Gerado a partir das tabelas Pessoa03_PR e DomicilioRenda_PR do Censo 2010
Hipóteses;Segregação Socioespacial;Valor da Terra e racismo estrutural;Municipal;Palmas;Comparação do valor da terra com a distribuição dos residentes por raça ou cor autodeclarada;Mapa;Plano Diretor de Palmas 2021 e tabela Pessoa03_PR do Censo 2010
Dado;Sociais e populacionais;densidade populacional;Municipal;Guaraqueçaba;Valor númerico hab/m² (2022), densidade, demográfica e população estimada (2024);Dado Bruto;IBGE (2022) 
Dado;Sociais e populacionais;taxa de crescimento;Municipal;Guaraqueçaba;Taxa de Crescimento Médio Anual da População (2000 - 2010). Guaraqueçaba: - 0,51% (queda baixa);Mapa;Catalogo (IPARDES, 2014)
Dado;Sociais e populacionais;Pirâmide;Municipal;Guaraqueçaba;piramide etaria com recorte de gênero;Dado Bruto;IBGE (2022)
Dado;Sociais e populacionais;Dinâmica Demográfica;Municipal;Guaraqueçaba;Guaraqueçaba: esvaente de pessoas;Mapa;Catalogo (IPARDES, 2014)
Dado;Sociais e populacionais;Dinâmica Demográfica;Regional;Litoral Paranaense;Para o comparativo regional: litoral norte (esvaente) litoral centro-sul (atraente) ;Mapa;Catalogo (IPARDES, 2014)
Dado;Sociais e populacionais;IDH;Municipal;Guaraqueçaba;IDHM do município de Guaraqueçaba em relação ao Brasil;Dado Bruto;AtlasBrasil (2021)
Dado;Sociais e populacionais;IDH;Regional;Microregião de Paranaguá;Média IDH Regional (0,701);Tabela;AtlasBrasil, 2022
Dado;Sociais e populacionais;Desigualdades;Municipal;Guaraqueçaba;Caracteristicas etnico-raciais no contexto Urbano x Rural;Dado Bruto;Infosanbas (Portal de Dados Municipais de vários anos)
Dado;Sociais e populacionais;Desigualdades;Municipal;Guaraqueçaba;Bolsa Família;Tabela;Portal Bolsa Família
Dado;Sociais e populacionais;Desigualdades;Municipal;Guaraqueçaba;Grau de Desenvolvimento Socioeconômico (baixo);Mapa;Catalogo (IPARDES, 2014)
